Date,NVDA
2020-05-04,7.254605293273926
2020-05-05,7.315622329711914
2020-05-06,7.416488170623779
2020-05-07,7.592816352844238
2020-05-08,7.782841205596924
2020-05-11,8.034883499145508
2020-05-12,7.772879600524902
2020-05-13,7.750466823577881
2020-05-14,8.000015258789062
2020-05-15,8.458517074584961
2020-05-18,8.717033386230469
2020-05-19,8.772071838378906
2020-05-20,8.935951232910156
2020-05-21,8.741938591003418
2020-05-22,8.991985321044922
2020-05-25,8.991985321044922
2020-05-26,8.684656143188477
2020-05-27,8.492887496948242
2020-05-28,8.454782485961914
2020-05-29,8.841806411743164
2020-06-01,8.772819519042969
2020-06-02,8.791748046875
2020-06-03,8.736209869384766
2020-06-04,8.737207412719727
2020-06-05,8.890192985534668
2020-06-08,8.775578498840332
2020-06-09,9.015771865844727
2020-06-10,9.335450172424316
2020-06-11,8.766858100891113
2020-06-12,8.902654647827148
2020-06-15,9.143095970153809
2020-06-16,9.03819751739502
2020-06-17,9.205137252807617
2020-06-18,9.187199592590332
2020-06-19,9.230301856994629
2020-06-22,9.494915008544922
2020-06-23,9.41841983795166
2020-06-24,9.20464038848877
2020-06-25,9.45828914642334
2020-06-26,9.124410629272461
2020-06-29,9.169256210327148
2020-06-30,9.46601390838623
2020-07-01,9.49815559387207
2020-07-02,9.580130577087402
2020-07-03,9.580130577087402
2020-07-06,9.806371688842773
2020-07-07,9.838763236999512
2020-07-08,10.181864738464355
2020-07-09,10.473884582519531
2020-07-10,10.444231033325195
2020-07-13,10.018662452697754
2020-07-14,10.342325210571289
2020-07-15,10.193077087402344
2020-07-16,10.100886344909668
2020-07-17,10.167410850524902
2020-07-20,10.475628852844238
2020-07-21,10.293987274169922
2020-07-22,10.403868675231934
2020-07-23,10.095903396606445
2020-07-24,10.160435676574707
2020-07-27,10.386674880981445
2020-07-28,10.181367874145508
2020-07-29,10.430529594421387
2020-07-30,10.578534126281738
2020-07-31,10.579278945922852
2020-08-03,10.973459243774414
2020-08-04,11.190232276916504
2020-08-05,11.249035835266113
2020-08-06,11.297623634338379
2020-08-07,11.162075996398926
2020-08-10,11.127693176269531
2020-08-11,10.81374740600586
2020-08-12,11.40202522277832
2020-08-13,11.404762268066406
2020-08-14,11.525357246398926
2020-08-17,12.295774459838867
2020-08-18,12.219779014587402
2020-08-19,12.097939491271973
2020-08-20,12.100431442260742
2020-08-21,12.64111614227295
2020-08-24,12.677748680114746
2020-08-25,12.707395553588867
2020-08-26,12.730317115783691
2020-08-27,12.586051940917969
2020-08-28,13.103819847106934
2020-08-31,13.329809188842773
2020-09-01,13.778940200805664
2020-09-02,14.302838325500488
2020-09-03,12.975889205932617
2020-09-04,12.584087371826172
2020-09-07,12.584087371826172
2020-09-08,11.876744270324707
2020-09-09,12.676302909851074
2020-09-10,12.274282455444336
2020-09-11,12.12747859954834
2020-09-14,12.833075523376465
2020-09-15,12.95146369934082
2020-09-16,12.476412773132324
2020-09-17,12.425568580627441
2020-09-18,12.152155876159668
2020-09-21,12.479157447814941
2020-09-22,12.599289894104004
2020-09-23,12.086853981018066
2020-09-24,12.310420989990234
2020-09-25,12.83456802368164
2020-09-28,12.995329856872559
2020-09-29,13.18549919128418
2020-09-30,13.489323616027832
2020-10-01,13.573066711425781
2020-10-02,13.02249813079834
2020-10-05,13.600981712341309
2020-10-06,13.694696426391602
2020-10-07,13.921501159667969
2020-10-08,13.796635627746582
2020-10-09,13.720865249633789
2020-10-12,14.182705879211426
2020-10-13,14.204887390136719
2020-10-14,14.052353858947754
2020-10-15,13.927485466003418
2020-10-16,13.769466400146484
2020-10-19,13.456671714782715
2020-10-20,13.603975296020508
2020-10-21,13.483589172363281
2020-10-22,13.32033634185791
2020-10-23,13.548892974853516
2020-10-26,13.10125732421875
2020-10-27,13.355978965759277
2020-10-28,12.588573455810547
2020-10-29,12.98436450958252
2020-10-30,12.495855331420898
2020-11-02,12.542464256286621
2020-11-03,12.979875564575195
2020-11-04,13.752269744873047
2020-11-05,14.11690616607666
2020-11-06,14.517685890197754
2020-11-09,13.589263916015625
2020-11-10,12.731134414672852
2020-11-11,13.377165794372559
2020-11-12,13.41579532623291
2020-11-13,13.256532669067383
2020-11-16,13.47411823272705
2020-11-17,13.381403923034668
2020-11-18,13.387883186340332
2020-11-19,13.399348258972168
2020-11-20,13.047920227050781
2020-11-23,13.100008964538574
2020-11-24,12.918314933776855
