Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,BRK-B,JPM,JNJ,V,PEP,XOM,PG,AVGO,COST,HD,BAC,LLY,CVX,KO,MRK,WMT,PFE,ORCL,ADBE,CSCO,DIS,NFLX,CRM
2025-04-21,,,,,,,,,,319.0079650878906,,,,,,,,,,,,,,,,,,,
2025-04-22,,,,,,,,,,330.2693786621094,,,,,,,,,,,,,,,,,,,
2025-04-23,,,,,,,,,,333.2292785644531,,,,,,,,,,,,,,,,,,,
2025-04-24,,,,,,,,,,334.564697265625,,,,,,,,,,,,,,,,,,,
2025-04-25,,,,,,,,,,334.02655029296875,,,,,,,,,,,,,,,,,,,
2025-04-28,,,,,,,,,,336.3585510253906,,,,,,,,,,,,,,,,,,,
2025-04-29,,,,,,,,,,340.3548583984375,,,,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,344.3212890625,,,,,,,,,,,,,,,,,,,
2025-05-01,,,,,,,,,,341.2817077636719,,,,,,,,,,,,,,,,,,,
2025-05-02,,,,,,,,,,346.41412353515625,,,,,,,,,,,,,,,,,,,
2025-05-05,,,,,,,,,,347.4505920410156,,,,,,,,,,,,,,,,,,,
2025-05-06,,,,,,,,,,346.5137939453125,,,,,,,,,,,,,,,,,,,
2025-05-07,,,,,,,,,,348.6564636230469,,,,,,,,,,,,,,,,,,,
2025-05-08,,,,,,,,,,350.07159423828125,,,,,,,,,,,,,,,,,,,
2025-05-09,,,,,,,,,,351.3372802734375,,,,,,,,,,,,,,,,,,,
2025-05-12,,,,,,,,,,354.635986328125,,,,,,,,,,,,,,,,,,,
2025-05-13,,,,,,,,,,355.51446533203125,,,,,,,,,,,,,,,,,,,
2025-05-14,,,,,,,,,,355.8338623046875,,,,,,,,,,,,,,,,,,,
2025-05-15,,,,,,,,,,361.6636047363281,,,,,,,,,,,,,,,,,,,
2025-05-16,,,,,,,,,,364.4786682128906,,,,,,,,,,,,,,,,,,,
2025-05-19,,,,,,,,,,367.2537841796875,,,,,,,,,,,,,,,,,,,
2025-05-20,,,,,,,,,,366.1956481933594,,,,,,,,,,,,,,,,,,,
2025-05-21,,,,,,,,,,357.6706237792969,,,,,,,,,,,,,,,,,,,
2025-05-22,,,,,,,,,,357.3412170410156,,,,,,,,,,,,,,,,,,,
2025-05-23,,,,,,,,,,352.91900634765625,,,,,,,,,,,,,,,,,,,
2025-05-27,,,,,,,,,,358.66888427734375,,,,,,,,,,,,,,,,,,,
